Loading configuration file "../inputs/tiny.inp" ...
Initializing simulation state ...
# x y z u v w
5.18268 1.37588 1.1435 -0.00450907 0.0287838 0.0405998
5.26943 1.34872 1.06276 0.0613892 0.0220961 -0.021417
5.23803 1.392 0.888073 0.0351015 0.0319779 -0.0413493
4.78527 1.72925 1.24634 0.0343833 -0.0763592 0.144195
5.07739 1.57341 0.657778 -0.0342046 -0.00594587 0.013976
5.10689 1.82836 1.11351 -0.0328132 -0.0463288 0.0154927
5.07083 1.39198 0.963685 -0.0338173 0.0319736 -0.0542917
5.28367 1.43569 1.02566 0.073598 0.0361435 -0.0407318
4.8968 1.61917 0.727125 0.0231248 -0.032441 0.0139152
5.03614 1.59211 1.00109 -0.0280538 -0.0166199 -0.0490044
5.28567 1.86969 1.02053 0.075315 -0.00741872 -0.0427708
5.33691 1.52383 0.963698 0.118741 0.0183164 -0.0542914
5.31279 1.55811 0.762318 0.0983717 0.00231544 0.00599661
5.09222 1.61007 0.818041 -0.0341637 -0.0271313 -0.0139824
4.90448 1.38496 1.10982 0.0206026 0.0306729 0.012517
5.08771 1.51575 1.21768 -0.0343139 0.0214457 0.103801
4.83491 1.66941 1.17032 0.0359837 -0.0590195 0.0635623
5.2179 1.52755 0.84459 0.0193594 0.0167821 -0.0248952
5.18256 1.85486 1.05622 -0.0045802 -0.0237159 -0.0253715
5.12485 1.70493 0.655892 -0.0293222 -0.0719042 0.0136427
5.2989 1.48019 0.716979 0.0866136 0.0317553 0.015288
5.30272 1.41305 0.640022 0.0898574 0.0349083 0.00981325
4.86671 1.69394 0.878266 0.0312011 -0.0686447 -0.0379765
5.13791 1.60793 1.15471 -0.0254972 -0.0258755 0.0502044
5.19515 1.63363 0.70409 0.00330701 -0.0407007 0.0163909
4.98786 1.61366 0.98933 -0.012214 -0.029232 -0.0516148
5.06247 1.82959 1.13976 -0.0329793 -0.045426 0.0374052
5.18184 1.47519 0.968763 -0.00500703 0.0327226 -0.0540838
4.76962 1.39343 0.903094 0.0311449 0.0322237 -0.0459368
4.89506 1.65071 0.958682 0.0236707 -0.0499333 -0.0543454
5.04483 1.78496 0.982887 -0.030038 -0.0696747 -0.0526729
5.32198 1.69941 0.973955 0.106088 -0.0703558 -0.0537088
4.80361 1.7197 0.883112 0.0363566 -0.0750906 -0.0396762
5.31051 1.82354 0.77539 0.0964454 -0.0497368 0.00196581
4.85202 1.65444 0.707389 0.033931 -0.0518402 0.0161784
4.87065 1.37755 1.17022 0.0303244 0.029147 0.063482
5.04511 1.29986 1.1821 -0.0300953 0.00881744 0.0735699
5.28495 1.38735 0.672359 0.0746961 0.0311316 0.0158776
5.17866 1.27781 0.698232 -0.00685758 0.00374727 0.0166478
4.75092 1.45156 1.22571 0.022447 0.0356607 0.111282
5.26042 1.61385 0.901468 0.0537169 -0.0293444 -0.0454783
5.15375 1.4313 1.00982 -0.0194241 0.0360748 -0.0464981
4.91436 1.25544 0.670735 0.0171376 0.00032516 0.0157214
4.90159 1.76223 1.24422 0.0215709 -0.0754488 0.137479
4.94222 1.83118 0.856949 0.00635048 -0.0442419 -0.0298903
4.91906 1.76997 1.15921 0.0154115 -0.0739698 0.0540571
5.16179 1.42243 0.731676 -0.0157585 0.0356802 0.0131598
5.34979 1.43148 0.97213 0.13039 0.0360793 -0.0538594
